item-name	item-description	listing-id	seller-sku	price	quantity	open-date	image-url	item-is-marketplace	product-id-type	zshop-shipping-fee	item-note	item-condition	zshop-category1	zshop-browse-path	zshop-storefront-feature	asin1	asin2	asin3	will-ship-internationally	expedited-shipping	zshop-boldface	product-id	bid-for-featured-placement	add-delete	pending-quantity	fulfillment-channel	merchant-shipping-group	status
Sena Outrush R Solid Helmet X-Large Glossy White		1004AQLOSYQ	01002174	269	25	2023-10-04 03:49:32 PDT		y	1			11				B09ZQ34WDT						B09ZQ34WDT			0	DEFAULT	Migrated Template	Active
Sena Outrush R Solid Helmet Small Matte Black		1004AQO4PTK	01002176	269	36	2023-10-04 03:49:32 PDT		y	1			11				B09ZQ4QHFT						B09ZQ4QHFT			0	DEFAULT	Migrated Template	Active
Sena Outrush R Solid Helmet Medium Matte Black		1004AQRD6IT	01002177	269	42	2023-10-04 03:49:32 PDT		y	1			11				B09ZQ5MTY4						B09ZQ5MTY4			0	DEFAULT	Migrated Template	Active
Sena Outrush R Solid Helmet Large Matte Black		1004AQRCFW3	01002178	269	63	2023-10-04 03:49:32 PDT		y	1			11				B09ZQ3XXNB						B09ZQ3XXNB			0	DEFAULT	Migrated Template	Active
Sena Outrush R Solid Helmet X-Large Matte Black		1004AQOCKRJ	01002179	269	21	2023-10-04 03:49:32 PDT		y	1			11				B09ZQ5656S						B09ZQ5656S			0	DEFAULT	Migrated Template	Active
Shoei RF-1400 Prologue Helmet (X-Small) (RED/Black)		1002ALHH7L4	0101-1001-03	679.99	9	2023-10-02 03:48:55 PDT		y	1			11				B08QTTTNLK						B08QTTTNLK			0	DEFAULT	Migrated Template	Active
Shoei RF-1400 Prologue Helmet (X-Small) (RED/Black)		1002ALC518S	0101-1001-04	679.99	5	2023-10-02 03:48:55 PDT		y	1			11				B08QTTTNLK						B08QTTTNLK			0	DEFAULT	Migrated Template	Active
Shoei RF-1400 Prologue Helmet (X-Small) (RED/Black)		1002AL95EM2	0101-1001-05	679.99	26	2023-10-02 03:48:55 PDT		y	1			11				B08QTTTNLK						B08QTTTNLK			0	DEFAULT	Migrated Template	Active
Shoei RF-1400 Prologue Helmet (X-Small) (RED/Black)		1002AL969C3	0101-1001-06	679.99	26	2023-10-02 03:48:55 PDT		y	1			11				B08QTTTNLK						B08QTTTNLK			0	DEFAULT	Migrated Template	Active
Shoei RF-1400 Prologue Helmet (X-Small) (RED/Black)		1002ALFHO6Z	0101-1001-07	679.99	18	2023-10-02 03:48:55 PDT		y	1			11				B08QTTTNLK						B08QTTTNLK			0	DEFAULT	Migrated Template	Active
Shoei RF-1400 Prologue Helmet (X-Small) (RED/Black)		1002AL974GT	0101-1001-08	679.99	13	2023-10-02 03:48:55 PDT		y	1			11				B08QTTTNLK						B08QTTTNLK			0	DEFAULT	Migrated Template	Active
Shoei RF-1400 Prologue Helmet (X-Small) (RED/Black)		1002ALKRC8C	0101-1004-08	679.99	1	2023-10-02 06:27:21 PDT		y	1			11				B08QTTTNLK						B08QTTTNLK			0	DEFAULT	Migrated Template	Active
Shoei RF-1400 Prologue Helmet (X-Small) (RED/Black)		1002ALJ4ATB	0101-1005-03	679.99	1	2023-10-02 06:27:21 PDT		y	1			11				B08QTTTNLK						B08QTTTNLK			0	DEFAULT	Migrated Template	Active
Shoei RF-1400 Prologue Helmet (X-Small) (RED/Black)		1002ALEV1X8	0101-1005-04	679.99	6	2023-10-02 06:27:21 PDT		y	1			11				B08QTTTNLK						B08QTTTNLK			0	DEFAULT	Migrated Template	Active
Shoei RF-1400 Prologue Helmet (X-Small) (RED/Black)		1002ALEZQNY	0101-1005-05	679.99	26	2023-10-02 06:27:21 PDT		y	1			11				B08QTTTNLK						B08QTTTNLK			0	DEFAULT	Migrated Template	Active
Shoei RF-1400 Prologue Helmet (X-Small) (RED/Black)		1002ALK6C3X	0101-1005-06	679.99	26	2023-10-02 06:27:21 PDT		y	1			11				B08QTTTNLK						B08QTTTNLK			0	DEFAULT	Migrated Template	Active
Shoei RF-1400 Prologue Helmet (X-Small) (RED/Black)		1002ALGH056	0101-1005-07	679.99	25	2023-10-02 06:27:21 PDT		y	1			11				B08QTTTNLK						B08QTTTNLK			0	DEFAULT	Migrated Template	Active
Shoei RF-1400 Prologue Helmet (X-Small) (RED/Black)		1002ALEXLLI	0101-1005-08	679.99	6	2023-10-02 06:27:21 PDT		y	1			11				B08QTTTNLK						B08QTTTNLK			0	DEFAULT	Migrated Template	Active
Shoei RF-1400 Prologue Helmet (X-Small) (RED/Black)		1002ALJ44GK	0101-1008-04	679.99	9	2023-10-02 06:27:21 PDT		y	1			11				B08QTTTNLK						B08QTTTNLK			0	DEFAULT	Migrated Template	Active
Shoei RF-1400 Prologue Helmet (X-Small) (RED/Black)		1002ALEWTNI	0101-1008-05	679.99	3	2023-10-02 06:27:21 PDT		y	1			11				B08QTTTNLK						B08QTTTNLK			0	DEFAULT	Migrated Template	Active
Shoei RF-1400 Prologue Helmet (X-Small) (RED/Black)		1002ALM4KXE	0101-1008-08	679.99	1	2023-10-02 06:27:21 PDT		y	1			11				B08QTTTNLK						B08QTTTNLK			0	DEFAULT	Migrated Template	Active
Shoei RF-1400 Prologue Helmet (X-Small) (RED/Black)		1002ALFGB3U	0101-1010-04	679.99	1	2023-10-02 03:48:55 PDT		y	1			11				B08QTTTNLK						B08QTTTNLK			0	DEFAULT	Migrated Template	Active
Shoei RF-1400 Prologue Helmet (X-Small) (RED/Black)		1002ALCIM0X	0101-1010-08	679.99	2	2023-10-02 03:48:55 PDT		y	1			11				B08QTTTNLK						B08QTTTNLK			0	DEFAULT	Migrated Template	Active
Shoei RF-1400 Prologue Helmet (X-Small) (RED/Black)		1002ALDB4WA	0101-1011-05	679.99	13	2023-10-02 03:48:55 PDT		y	1			11				B08QTTTNLK						B08QTTTNLK			0	DEFAULT	Migrated Template	Active
Shoei RF-1400 Prologue Helmet (X-Small) (RED/Black)		1002ALH7E3Q	0101-1011-06	679.99	13	2023-10-02 03:48:55 PDT		y	1			11				B08QTTTNLK						B08QTTTNLK			0	DEFAULT	Migrated Template	Active
Shoei RF-1400 Prologue Helmet (X-Small) (RED/Black)		1002ALAVV2S	0101-1011-07	679.99	19	2023-10-02 03:48:55 PDT		y	1			11				B08QTTTNLK						B08QTTTNLK			0	DEFAULT	Migrated Template	Active
Shoei RF-1400 Prologue Helmet (X-Small) (RED/Black)		1002ALFGH8Q	0101-1011-08	679.99	1	2023-10-02 03:48:55 PDT		y	1			11				B08QTTTNLK						B08QTTTNLK			0	DEFAULT	Migrated Template	Active
Shoei RF-1400 Nocturne Helmet (X-Small) (White/RED/Green)		1002ALEWN2S	0101-1104-04	679.99	1	2023-10-02 06:27:21 PDT		y	1			11				B08QTXY2D4						B08QTXY2D4			0	DEFAULT	Migrated Template	Active
Shoei RF-1400 Nocturne Helmet (X-Small) (White/RED/Green)		1002ALKVRGJ	0101-1104-05	679.99	11	2023-10-02 06:27:21 PDT		y	1			11				B08QTXY2D4						B08QTXY2D4			0	DEFAULT	Migrated Template	Active
Shoei RF-1400 Nocturne Helmet (X-Small) (White/RED/Green)		1002ALCFD4T	0101-1104-06	679.99	5	2023-10-02 03:42:06 PDT		y	1			11				B08QTXY2D4						B08QTXY2D4			0	DEFAULT	Migrated Template	Active
Shoei RF-1400 Nocturne Helmet (X-Small) (White/RED/Green)		1002ALAGKJ7	0101-1104-07	679.99	1	2023-10-02 03:42:06 PDT		y	1			11				B08QTXY2D4						B08QTXY2D4			0	DEFAULT	Migrated Template	Active
